,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
99,,,,,Top 50 quality games:,Top 50:,3,50.0,-1.2,-7.4,67.0,16.1,31.3,31.3,6.5,10.2,3.7,19.1,1.7,0.0,0.0,0-0,.000,2-8,.250,2-8,.250,,,,,,,,
100,2008,Sr,6-7,Richard Lott Jr.,Alabama St.,SWAC,22,36.6,0.5,-3.0,97.8,19.8,43.2,46.6,10.5,14.1,5.5,14.6,2.2,1.5,46.2,32-54,.593,49-115,.426,1-2,.500,,,,,,,,
101,,,,,Conf. games:,Conf. games:,12,29.3,0.8,-3.1,104.4,20.5,43.0,47.6,9.7,15.6,6.9,11.1,3.0,0.6,48.4,20-31,.645,26-63,.413,1-1,1.000,,,,,,,,
102,,,,,Top 100 quality games:,Top 100:,4,46.9,-0.3,-4.6,76.0,19.8,25.0,31.7,11.4,5.4,5.7,12.0,2.5,3.2,55.0,6-11,.545,5-20,.250,0-0,.000,,,,,,,,
103,,,,,Top 50 quality games:,Top 50:,3,41.7,-0.5,-3.7,74.2,17.9,23.1,26.0,13.5,2.0,8.8,6.9,2.1,4.9,38.5,2-5,.400,3-13,.231,0-0,.000,,,,,,,,
104,2008,So,6-1,Deshean Porchea,Alabama St.,SWAC,21,15.0,0.3,-2.3,105.5,18.2,48.7,50.9,5.5,12.3,26.3,23.1,0.0,1.4,28.2,7-11,.636,4-12,.333,10-27,.370,,,,,,,,
105,,,,,Conf. games:,Conf. games:,16,18.1,0.5,-1.5,111.2,19.5,51.7,54.1,6.9,12.2,28.7,23.6,0.0,1.9,37.9,7-11,.636,3-10,.300,8-19,.421,,,,,,,,
106,,,,,Top 100 quality games:,Top 100:,2,13.1,0.0,-4.8,85.6,16.6,41.7,41.7,4.5,4.8,10.8,17.1,0.0,0.0,0.0,0-0,.000,1-2,.500,1-4,.250,,,,,,,,
107,,,,,Top 50 quality games:,Top 50:,1,7.5,0.7,1.4,107.8,14.9,50.0,50.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,1-3,.333,,,,,,,,
108,2008,Jr,5-10,Wendell Mardis,Alabama St.,SWAC,17,13.4,-0.1,-2.1,90.0,16.4,51.7,50.1,4.6,5.8,21.0,33.6,0.0,4.4,6.7,0-2,.000,5-12,.417,7-18,.389,,,,,,,,
109,,,,,Conf. games:,Conf. games:,8,3.9,-0.3,-8.1,62.0,21.7,60.0,60.0,4.6,12.1,11.9,59.0,0.0,4.3,0.0,0-0,.000,0-1,.000,2-4,.500,,,,,,,,
110,,,,,Top 100 quality games:,Top 100:,3,31.9,0.1,-5.4,88.5,15.6,60.0,54.8,1.9,2.0,17.1,30.0,0.0,2.3,20.0,0-2,.000,0-3,.000,4-7,.571,,,,,,,,
111,,,,,Top 50 quality games:,Top 50:,2,21.7,-1.3,-13.6,53.4,19.2,25.0,25.0,0.0,0.0,32.2,37.0,0.0,2.4,0.0,0-0,.000,0-2,.000,1-4,.250,,,,,,,,
112,2008,Jr,6-4,Brandon Jones,Alabama St.,SWAC,14,5.7,-0.2,-9.3,81.9,15.9,37.5,39.1,9.1,15.4,0.0,17.5,1.6,0.9,25.0,2-4,.500,6-15,.400,0-1,.000,,,,,,,,
113,,,,,Conf. games:,Conf. games:,11,6.3,0.0,-7.3,96.7,17.7,42.9,46.8,8.6,10.1,0.0,15.0,2.3,1.3,14.3,2-2,1.000,6-13,.462,0-1,.000,,,,,,,,
114,,,,,Top 100 quality games:,Top 100:,2,9.4,-1.9,-14.4,15.5,11.4,0.0,0.0,6.3,27.0,0.0,34.9,0.0,0.0,200.0,0-2,.000,0-1,.000,0-0,.000,,,,,,,,
115,,,,,Top 50 quality games:,Top 50:,1,7.5,-2.9,-7.4,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0-0,.000,0-0,.000,0-0,.000,,,,,,,,
116,2008,Sr,6-5,Brian Lillis,Albany,AE,30,79.0,3.0,3.6,101.9,30.0,48.3,52.7,5.7,16.9,26.9,20.7,2.8,3.1,46.0,120-173,.694,168-342,.491,9-34,.265,,,,,,,,
117,,,,,Conf. games:,Conf. games:,16,83.8,3.9,4.4,107.9,30.4,48.8,53.3,7.1,17.2,28.4,18.0,4.2,2.7,50.2,74-108,.685,96-200,.480,6-15,.400,,,,,,,,
118,,,,,Top 100 quality games:,Top 100:,3,76.7,1.8,-0.6,85.6,28.6,47.4,49.1,4.6,24.0,16.2,29.6,1.2,3.0,20.5,5-8,.625,17-36,.472,1-3,.333,,,,,,,,
119,,,,,Top 50 quality games:,Top 50:,1,72.5,-0.9,-3.2,64.8,23.4,45.5,45.5,0.0,25.1,0.0,37.9,3.7,5.2,0.0,0-0,.000,5-11,.455,0-0,.000,,,,,,,,
120,2008,Sr,6-8,Brent Wilson,Albany,AE,30,74.1,2.0,1.6,112.4,16.4,52.6,54.1,5.5,17.6,11.1,15.6,1.2,1.3,12.7,24-32,.750,39-76,.513,62-175,.354,,,,,,,,
121,,,,,Conf. games:,Conf. games:,16,76.0,2.5,1.8,118.8,16.1,51.9,53.2,5.9,17.5,15.1,12.5,1.5,1.4,15.8,14-21,.667,18-35,.514,34-98,.347,,,,,,,,
122,,,,,Top 100 quality games:,Top 100:,3,75.0,7.0,8.9,153.7,14.2,69.0,69.0,7.1,25.9,8.9,4.4,1.2,0.6,0.0,0-0,.000,5-9,.556,10-20,.500,,,,,,,,
